scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count,density
8,5,Brute Force,1,53.07368639681789,96.40170000056969,12721,1.0013903093739225,0,3,93.65609999804292,111.52140000194777,60,40,8,8
8,5,UCS,1,53.82842712474619,275.6795000022976,2001,1.0156307004669092,0,3,242.17569999746047,284.86059999704594,60,40,8,8
8,5,GBFS,1,53.82842712474619,11.416099998314166,54,1.0156307004669092,0,3,10.005800002545584,16.063899998698616,60,40,8,8
8,5,A*,1,53.82842712474619,25.68760000212933,117,1.0156307004669092,0,3,22.130499997729203,26.09660000234726,60,40,8,8
8,5,RRT*,1,55.119743419613414,259.93949999974575,613,1.0399951588606304,0,3,236.49879999720724,291.20029999830876,60,40,8,8
12,5,Brute Force,1,53.07368639681789,89.62210000026971,12721,1.0013903093739225,0,3,84.31049999853713,97.01900000072783,60,40,12,12
12,5,UCS,1,53.82842712474619,339.11600000283215,1945,1.0156307004669092,0,3,322.32460000159335,347.9939999997441,60,40,12,12
12,5,GBFS,1,53.82842712474619,10.249899998598266,54,1.0156307004669092,0,3,10.214699999778531,11.883799998031463,60,40,12,12
12,5,A*,1,53.82842712474619,20.162900000286754,117,1.0156307004669092,0,3,18.379199998889817,20.803800001885975,60,40,12,12
12,5,RRT*,1,55.119743419613414,344.7091999987606,603,1.0399951588606304,0,3,313.1489000006695,434.27129999690806,60,40,12,12
16,5,Brute Force,1,53.02209345932116,93.69959999821731,12721,1.0004168577230408,0,3,92.4537999999302,107.37969999900088,60,40,16,16
16,5,UCS,1,53.82842712474619,429.97740000282647,1863,1.0156307004669092,0,3,404.4651000003796,635.3769000015745,60,40,16,16
16,5,GBFS,1,53.82842712474619,24.16079999966314,54,1.0156307004669092,0,3,19.68459999989136,30.944399997679284,60,40,16,16
16,5,A*,1,53.82842712474619,38.15030000259867,117,1.0156307004669092,0,3,37.67150000203401,39.53420000107144,60,40,16,16
16,5,RRT*,1,54.955921032632205,367.2874999974738,570,1.0369041704270228,0,3,340.8780999998271,422.93009999775677,60,40,16,16
20,5,Brute Force,1,53.02209345932116,108.38760000115144,12721,1.0004168577230408,0,3,97.42049999840674,111.64559999815538,60,40,20,20
20,5,UCS,1,53.82842712474619,509.8629999993136,1829,1.0156307004669092,0,3,465.30469999925117,647.389399997337,60,40,20,20
20,5,GBFS,1,53.82842712474619,15.989700001227902,54,1.0156307004669092,0,3,15.115099999093218,17.458199999964563,60,40,20,20
20,5,A*,1,53.82842712474619,29.77449999889359,117,1.0156307004669092,0,3,27.246599998761667,34.70549999838113,60,40,20,20
20,5,RRT*,1,54.955921032632205,466.16829999766196,563,1.0369041704270228,0,3,404.17170000000624,498.0646000003617,60,40,20,20
24,5,Brute Force,1,53.02209345932116,116.0626000018965,12721,1.0004168577230408,0,3,111.62359999798355,129.72430000081658,60,40,24,24
24,5,UCS,1,53.82842712474619,502.1116999996593,1764,1.0156307004669092,0,3,501.8658000008145,522.011900000507,60,40,24,24
24,5,GBFS,1,53.82842712474619,19.565200000215555,54,1.0156307004669092,0,3,15.505200000916375,20.944799998687813,60,40,24,24
24,5,A*,1,53.82842712474619,37.87989999909769,117,1.0156307004669092,0,3,34.17460000127903,37.998800002242206,60,40,24,24
24,5,RRT*,1,54.955921032632205,472.7335999996285,552,1.0369041704270228,0,3,439.5635999972001,483.1515000005311,60,40,24,24
4,6,Brute Force,1,53.0,95.47480000037467,12721,1.0,0,3,93.77500000118744,98.00900000118418,60,40,4,4
4,6,UCS,1,53.0,153.69730000020354,1988,1.0,0,3,149.05709999948158,173.06660000031115,60,40,4,4
4,6,GBFS,1,53.0,4.012900000816444,54,1.0,0,3,4.012099998362828,4.147999999986496,60,40,4,4
4,6,A*,1,53.0,5.216500001552049,54,1.0,0,3,4.11069999972824,6.122599999798695,60,40,4,4
4,6,RRT*,1,55.796888046909366,323.5028999988572,625,1.0527714725831956,0,3,321.3255000009667,345.01970000201254,60,40,4,4
8,6,Brute Force,1,53.0,126.78550000055111,12721,1.0,0,3,120.74120000033872,158.46040000178618,60,40,8,8
8,6,UCS,1,53.0,243.0104000013671,1903,1.0,0,3,232.08720000184258,256.2178000007407,60,40,8,8
